Date,ProductName,Category,Quantity,UnitPrice,TotalPrice,PaymentType,Country,City,PostalCode,ShippingCost,OrderStatus,ReturnStatus,Rating,Feedback,ShippingDate,DeliveryDate,CustomerFullName,CustomerPhone,CustomerEmail,CustomerAddress,ProductDescription,SupplierName,SupplierContact,PurchasePrice,Profit,Discount,Tax,TaxAmount,FinalPrice,PaymentStatus,ShipmentTrackingNumber,Carrier,EstimatedDelivery,ActualDelivery,DeliveryStatus,ProductReturnDate,ReturnReason,RefundAmount,CustomerSupportContact,PromotionApplied,CouponCode,MembershipStatus,ReviewComment,ReviewDate,FollowUpAction
2021-01-10,XCKMDZNVKJSR,Books,6,250.88,1505.28,Debit Card,UK,Sydney,98675,34.42,Completed,Not Returned,3,XAUVVDASJOTDTNEOOYPPDYIAEITE,2021-01-14,2021-01-17,HOFDLPUBHV,+18536870291,lnmsi@example.com,EVDIRNAVFFNPFTKNIGXHLJK,,PBTYEBTGEKHQNE,BUWCBPQULEDXPRMT,205.26,273.72,0.25,0.07,105.37,1234.33,Failed,598458,UPS,2021-01-18,2021-01-17,Delayed,,,,,,,,,,
2021-01-12,OUJEZEJECW,Books,1,250.88,250.88,Debit Card,Canada,New York,27388,34.42,Completed,Returned,4,PBZPRBPAPCOKJQDQDSYANXK,2021-01-14,2021-01-16,CAHLGQMXZRPHUXL,+12452143493,pifng@example.com,FLWVMVGIXCCPRMVWIF,,CGZKAVXR,,205.26,45.62,0.2,0.07,17.56,218.264,Processed,552503,UPS,2021-01-15,2021-01-15,On Time,,,,,,,,,,
2021-01-14,DRIQMOTQMP,Books,9,250.88,2257.92,Debit Card,Australia,Paris,46523,34.42,Cancelled,Returned,2,GQDJQDSRQFGFYLIRBYQUAWIFBFICPYXOLWHZFCWDJNUX,2021-01-15,2021-01-23,BGVDYTPQCXCNNGA,+13751270528,scola@example.com,IRTMAFSZVAXVLWYPDDJNTRCFRIZMS,,APMFFUWNEH,,205.26,410.58,0.24,0.07,158.05,1874.0692,Failed,602209,UPS,2021-01-23,2021-01-22,Delayed,,,,,,,,,,
2021-01-15,DEEIQMBMVU,Toys & Games,5,250.88,1254.4,Debit Card,Australia,Toronto,67693,34.42,Pending,Returned,5,GGHJSSBOAJFVMJLXFFALWWJYNOWXDYAHCN,2021-01-19,2021-01-27,DYKAKLOYZXOZV,+19015390931,kvcqm@example.com,PSFBPTNADUEJRIGDUOQZEKFE,,FEJRMW,LLJAXFSXMASY,205.26,228.1,0.25,0.07,87.81,1028.61,Processed,204961,FedEx,2021-01-28,2021-01-26,On Time,,,,,,,,,,
2021-01-17,SCJBMSZQUNL,Toys & Games,3,250.88,752.64,Credit Card,Australia,Berlin,45732,34.42,Pending,Returned,3,BOFENSIHCRHPOUOPYAJSERCDDKIAYPIKFQLV,2021-01-20,2021-01-27,FVBWIHSHTJQSA,+18658712693,hmhhx@example.com,WMFOMMJBBIVZTJUKUHUR,,FUDMRMMG,AYWQQUKTLXMRVXA,205.26,136.86,0.29,0.07,52.68,587.0544,Failed,673844,USPS,2021-01-26,2021-01-26,Early,,,,,,,,,,
2021-01-18,LKGDSAXCM,Toys & Games,4,250.88,1003.52,Credit Card,USA,Toronto,51646,34.42,Pending,Returned,2,PEUAQXUHJROTMJIMCVWCABKNJGW,2021-01-21,2021-01-28,ZOKYGPCWLXPTSB,+15862560646,mlemw@example.com,UDRVPXBZGDERJIPS,,CFHZZLBKZ,QGQPLYHKCLDI,205.26,182.48,0.05,0.07,70.25,1023.594,Pending,420009,UPS,2021-01-26,2021-01-27,Delayed,,,,,,,,,,
2021-01-20,KDSQCR,Electronics,1,250.88,250.88,Debit Card,France,Paris,31021,34.42,Completed,Returned,1,AZGOZKFVGGAJUOHXSCWODFYJRPRFSQRMGTLBLLXDDRPNQQC,2021-01-23,2021-01-28,SWKKBEEYXXJBORLJG,+16528482646,lsjob@example.com,QDAFPMDTIYWDYEZDUYKQGIQS,,CWJHHNDO,VUUQPLOOACBZQLEKSOG,205.26,45.62,0.23,0.07,17.56,210.7376,Processed,555609,FedEx,2021-01-29,2021-01-28,Early,,,,,,,,,,
2021-01-21,VYXZSEGUHEQE,Toys & Games,9,250.88,2257.92,Debit Card,UK,Sydney,62776,34.42,Pending,Returned,4,WMIUIHQPPSXPYNTNNNLFTMPIB,2021-01-25,2021-02-03,OCPSGQDVOIQAB,+17744755169,fpabw@example.com,WDIZKMXPJDCUWVGULREWQETLWPP,,RVOSXCBMMYIYCB,JFUOJUQVFSTTFNXMM,205.26,410.58,0.22,0.07,158.05,1919.2276,Processed,919817,FedEx,2021-02-03,2021-02-02,Delayed,,,,,,,,,,
2021-01-22,VSUBKVMO,Books,8,250.88,2007.04,Bank Transfer,Canada,Berlin,29116,34.42,Refunded,Not Returned,2,CJTBXJHQZVAFGORIHYJDTHAHWLWYOMPZWRAQPWETU,2021-01-24,2021-01-27,WNEDMJMVXLWRKRVL,+16514539549,ywozp@example.com,GTMEXSTPJLFWZYUSUBHT,,BPHZARVI,IUXHJTDCMUHXINANLD,205.26,364.96,0.09,0.07,140.49,1966.8964,Processed,380592,UPS,2021-01-26,2021-01-26,Delayed,,,,,,,,,,
2021-01-23,UVKGEQXTIN,Clothing,4,250.88,1003.52,Credit Card,USA,London,82009,34.42,Completed,Returned,3,ZFLJVQBSTFMILRHYRYWYVBHJIXRHS,2021-01-27,2021-02-05,UPNAGSYEQJ,+18509901139,hnxjo@example.com,CGCKLMDBFULJZTDQLSUOBGS,,LEUCHVZPRLLUDJ,UDMPKCBYZCTQAZY,205.26,182.48,0.12,0.07,70.25,953.3476,,505707,UPS,2021-02-04,2021-02-04,Early,,,,,,,,,,
2021-01-25,LFQSSZPLLTFWZD,Toys & Games,2,250.88,501.76,PayPal,Germany,Sydney,98271,34.42,Cancelled,Not Returned,2,IMIYTLWMHOMUMQOYVSCNJQ,2021-01-29,2021-02-01,XNWFYLTZLALZF,,cfbig@example.com,HRNHUYYFCLAQELZRMZICDJJBRCKV,,DXAEYCKMVKZFV,JTFBVGQHMVYDK,205.26,91.24,0.05,0.07,35.12,511.792,Processed,115366,UPS,2021-02-01,2021-02-01,Early,,,,,,,,,,
2021-01-27,KAXWOKYSRQ,Clothing,9,250.88,2257.92,Credit Card,Canada,Sydney,86620,34.42,Cancelled,Not Returned,1,HRLQWKIVXXYWYOILKQFHJYODRKIIHCURNCQDUROSVFOGLPIT,2021-01-28,2021-02-01,QJSKAEXNMBNFF,+17976117116,sfzaw@example.com,EOXQBEQKJWSFJKGPUMWKC,,GCVJESRQ,YHRHKXEGWDV,205.26,410.58,0.27,0.07,158.05,1806.3316,Failed,306536,UPS,2021-02-02,2021-02-01,On Time,,,,,,,,,,
2021-01-28,UNRSOOD,Books,4,250.88,1003.52,PayPal,Australia,New York,54771,34.42,Pending,Not Returned,5,KBVPDEGFXVJNHNNTWCAIIVBP,2021-02-01,2021-02-03,WAZTKVDFBYTEOW,+16064415361,,WDGJLKEZESOGDGGJDRVFUA,,AEUQYUIKVGGB,FMPVYBZXOHQNRNDUUVW,205.26,182.48,0.26,0.07,70.25,812.8548,Processed,523469,USPS,2021-02-04,2021-02-03,Early,,,,,,,,,,
2021-01-28,MCPIHTMQQQA,Toys & Games,9,250.88,2257.92,Bank Transfer,Canada,Paris,38756,34.42,Completed,Not Returned,4,ZFWMASOAJALKQDWGLMEFBUGNYVN,2021-01-31,2021-02-03,QWJIBKBPDQILECFGD,+17476288129,hfost@example.com,WCGBNYYEEPOPXIHZ,,RDLSMFKOU,,205.26,410.58,0.18,0.07,158.05,2009.5444,Failed,283985,USPS,2021-02-01,2021-02-02,On Time,,,,,,,,,,
2021-01-29,SFCEMONWPRVV,Electronics,3,250.88,752.64,Debit Card,Canada,New York,92604,34.42,Refunded,Not Returned,3,DCYWNFWOHECCMBXALHSINRJIFAEJY,2021-02-02,2021-02-05,UOLNWJZCBBK,+19002245396,,BJZRRSEAYUWKUKZCCPTO,,BMWYA,ANSSYOSFYZEZPIYOVH,205.26,136.86,0.15,0.07,52.68,692.424,Pending,158878,DHL,2021-02-04,2021-02-04,Early,,,,,,,,,,
2021-02-03,VJJUPLB,Electronics,7,250.88,1756.16,Bank Transfer,Germany,New York,12919,34.42,Refunded,Returned,4,VWDAUBXDQJWLBCNYOMIBSPKLYABPBZSJ,2021-02-04,2021-02-13,TNESQOTQLHOUB,+12347820112,,MJSJPFEOQDHLMIZOKOVODPJBLYHUX,,OPKCLLKP,YHDXBPCIZDBSWYOGHC,205.26,319.34,0.07,0.07,122.93,1756.1588,Pending,,USPS,2021-02-13,2021-02-12,On Time,,,,,,,,,,
2021-02-03,XCXYOCSRHZQHG,Clothing,7,250.88,1756.16,Debit Card,France,Toronto,33550,34.42,Completed,Not Returned,4,JPMPRXHXRMYGUWXYRFIFRQLCEGJJSYZDJRCUCE,2021-02-07,2021-02-10,UQUXJRXXLADEZX,+11056086325,kwonu@example.com,QXESKQXFLGPCLZHCOUFH,,UMLJZKRET,OAPVCBODNIVINOXE,205.26,319.34,0.24,0.07,122.93,1457.6116,Failed,134560,DHL,2021-02-08,2021-02-09,Delayed,,,,,,,,,,
2021-02-04,CADYEAOEMHH,Electronics,4,250.88,1003.52,Credit Card,UK,Sydney,46524,34.42,Pending,Not Returned,4,TMKZMSFXMDYVESEUNDLFSJAWWPDIRQOSGYR,2021-02-08,2021-02-16,AGTZLUFTQKHK,+12384948166,kmrgq@example.com,MUQQVNZPKFZJGWIVJLSLSOTFOT,,LQAHP,BXQKMLCWTMOKPGAWS,205.26,182.48,0,0.07,70.25,1073.77,Pending,128296,DHL,2021-02-15,2021-02-16,Delayed,,,,,,,,,,
2021-02-04,IADCBHWIB,Electronics,2,250.88,501.76,Debit Card,Australia,Paris,64606,34.42,Cancelled,Not Returned,2,SULYCAEAHGOKRNIEWDLAXMACV,2021-02-07,2021-02-09,SZTEJMYEWCQVJQFXNI,,kvfnf@example.com,WRUEHKOZENJFNTDN,,YJBYYDD,IRCCDPKWWOI,205.26,91.24,0.14,0.07,35.12,466.6336,Failed,351916,FedEx,2021-02-08,2021-02-09,Early,,,,,,,,,,
2021-02-05,FKCHCNMM,Electronics,9,250.88,2257.92,PayPal,France,New York,78819,34.42,Cancelled,Returned,2,XRYPTTPBQJGJSTIVQIIEXGKHYNB,2021-02-09,2021-02-18,EWVYTHYPGWBIUJSDM,+14957824500,nscqt@example.com,RTKYYLPTIUKYIYIGI,,LQUVDHPO,HVFURFFLENFUTSNATYW,205.26,410.58,0.26,0.07,158.05,1828.9108,Processed,298844,USPS,2021-02-17,2021-02-17,Delayed,,,,,,,,,,
2021-02-06,MSFPBH,Books,4,250.88,1003.52,PayPal,USA,London,80227,34.42,Refunded,Not Returned,5,UXPPSKFFGPMCXXIXCFYQCBLXFJKPP,2021-02-08,2021-02-12,BSFPONMQRTAVDPRJTHF,,gqzjr@example.com,DFVKQANQXQIJRIY,,KYMWHWI,GNTPLWKRLXJXYEZX,205.26,182.48,0.19,0.07,70.25,883.1012,Failed,500815,USPS,2021-02-12,2021-02-11,Early,,,,,,,,,,
2021-02-07,WBJPF,Electronics,8,250.88,2007.04,Bank Transfer,Australia,Berlin,33212,34.42,Refunded,Not Returned,1,RVWXIUSBXAZPVRCXAFSVSKHETIOUNDXXHTQBTPJBKJS,2021-02-10,2021-02-16,EVDDSZZVIM,+14158408665,zrumh@example.com,MKBDKIYXLUQBNTIDEQMUNRIZJLI,,TBHRXV,JZXZPYFFTXW,205.26,364.96,0.19,0.07,140.49,1766.1924,Pending,941871,USPS,2021-02-16,2021-02-15,Early,,,,,,,,,,
2021-02-08,BZMXOB,Home & Kitchen,2,250.88,501.76,Credit Card,UK,Paris,50118,34.42,Refunded,Not Returned,3,YNKIGOTQCONHDZJBNHWJYROEVMRBMNJDOHONUITCZOXQ,2021-02-09,2021-02-14,YVRVWRQVHKFHVVHS,+10634621077,eaqep@example.com,XLJFZXITNNMZDGEDRBT,,KVYTAYPPJXQ,QJHXIGYJXYYASVKWTJ,205.26,91.24,0.02,0.07,35.12,526.8448,,296321,FedEx,2021-02-14,2021-02-13,Early,,,,,,,,,,
2021-02-10,CHWNXWVGUGA,Toys & Games,8,250.88,2007.04,PayPal,USA,Toronto,38602,34.42,Cancelled,Not Returned,2,PDKYHCSNICDYDKSPWVQJXQPTVFGNKLNEETVWZOZAYXWI,2021-02-11,2021-02-19,FDWGYBBVNIGV,+16989024165,rcriu@example.com,XHWTWIXUCRTMKYZTYJUMCVYX,,FNZODBSMLYUWMO,,205.26,364.96,0.09,0.07,140.49,1966.8964,Pending,877640,DHL,2021-02-17,2021-02-18,On Time,,,,,,,,,,
2021-02-10,IUMUS,Electronics,5,250.88,1254.4,Bank Transfer,Germany,Paris,27540,34.42,Refunded,Returned,4,ZDPGVNPRPPBJGYOIGXPZCQ,2021-02-11,2021-02-18,XLRSPLFALXKKIB,,nqsoh@example.com,CTTQULMPSGGUUQODMQAHYRPPIQI,,HCAXKI,,205.26,228.1,0.2,0.07,87.81,1091.33,Failed,110525,USPS,2021-02-17,2021-02-17,On Time,,,,,,,,,,
2021-02-12,SYYVQWWJJ,Electronics,7,250.88,1756.16,Credit Card,France,Sydney,45829,34.42,Cancelled,Not Returned,1,HBYTZYCHBSQETQJIVFKBWLLPYVXLURMOPDLQAVRVPA,2021-02-16,2021-02-25,UHAALDALNALEBDXKVR,+17443634868,dxoqx@example.com,ZJOHQHQMHBUOWXF,,QGWDMXELTEKB,LIJWHMVOQLPYK,205.26,319.34,0.01,0.07,122.93,1861.5284,Pending,871788,UPS,2021-02-24,2021-02-24,Early,,,,,,,,,,
2021-02-16,HVTTRNRN,Electronics,7,250.88,1756.16,Credit Card,Australia,Toronto,66309,34.42,Cancelled,Returned,3,JSPNYBXFVWELDVXDEGFMDMDJTAUHGECOQWMOSTNUMLXWIC,2021-02-18,2021-02-25,RTOUOIWHWJHK,+17221292258,zykln@example.com,CPWWBJCXKOYBISQAWHAKPW,,JXGLHWWW,,205.26,319.34,0.1,0.07,122.93,1703.474,Processed,387047,FedEx,2021-02-23,2021-02-25,Delayed,,,,,,,,,,
2021-02-16,UXOVDMWH,Home & Kitchen,9,250.88,2257.92,Bank Transfer,Canada,Berlin,75403,34.42,Pending,Returned,3,KJAQZMNABBGIXDBSZEIXMLSIJSJLNHPQTDFLRGEJFNFNLVZLH,2021-02-19,2021-02-28,SLGACWMDWZJFDW,+16660383615,gckbq@example.com,OGFDDJVXXSJLVTIGXATFV,,CQORJV,SDLCPADIWMVJIT,205.26,410.58,0.11,0.07,158.05,2167.5988,Failed,854358,FedEx,2021-02-26,2021-02-27,Delayed,,,,,,,,,,
2021-02-16,LWNBRX,Electronics,3,250.88,752.64,PayPal,UK,London,81455,34.42,Pending,Not Returned,3,PTZHIMTQSQGATNQMBNAEGSNXNOEEU,2021-02-18,2021-02-20,NXWRHENYVOTYQDUTM,+14912224986,,PPBWCVSFZJHUACAHGKJTKTQNDAUE,,QPXYGS,SCJJXUXYBMGMNRN,205.26,136.86,0.15,0.07,52.68,692.424,Processed,181418,FedEx,2021-02-20,2021-02-19,Delayed,,,,,,,,,,
2021-02-17,KILQOY,Electronics,4,250.88,1003.52,PayPal,Australia,New York,32277,34.42,Pending,Not Returned,3,BRXIJZRDHRTZQPRGAARDWTUTDYFCFMWGXDAFXEMSDXF,2021-02-19,2021-02-28,QCIWUKVTUXEZRXLSEL,+15345781776,mnqjt@example.com,JRIRELYPXBBUPDCT,,DMJKS,MSHDILTBDUXSIIKJ,205.26,182.48,0.11,0.07,70.25,963.3828,Processed,922128,FedEx,2021-02-27,2021-02-27,On Time,,,,,,,,,,
2021-02-20,ZZRVF,Toys & Games,4,250.88,1003.52,Bank Transfer,Canada,Paris,69673,34.42,Refunded,Returned,5,EMYJCWYMLDJZCQIARIUTYIBSPCPUMCJV,2021-02-21,2021-03-02,QNCAWMRJWSSQGHP,+13864355860,,BTLMSWYAGSMDPROK,,BKJCEOD,HVKFRHWBTEYJ,205.26,182.48,0.14,0.07,70.25,933.2772,Processed,569427,DHL,2021-03-03,2021-03-02,On Time,,,,,,,,,,
2021-02-20,WXRHI,Home & Kitchen,5,250.88,1254.4,PayPal,Australia,Toronto,27676,34.42,Cancelled,Not Returned,3,FFRFFVMNUGMOLUAYCRZVHBDRYZMOBJBULELWA,2021-02-21,2021-03-01,IMDJUVIYXZRLZ,,gqedq@example.com,EXNKRHILUYXRKEYIHRVQMWFXGBBLB,,AALJI,LWUBJLSEJAG,205.26,228.1,0.16,0.07,87.81,1141.506,,465534,DHL,2021-03-02,2021-03-01,On Time,,,,,,,,,,
2021-02-22,ELYKYAKSIB,Home & Kitchen,6,250.88,1505.28,Bank Transfer,USA,Berlin,52844,34.42,Refunded,Not Returned,1,BPVBPTZPFMLWJEHFETVFVQFQEWQQMVGVUFNPCIOURJJWCAC,2021-02-24,2021-03-05,QLBNFKNWNFAQQQJJNAB,+15423529649,dtvtu@example.com,ZXABEYKNHQMHOGOINOKD,,YZTTNZWSJCTVQ,VVQLGHCOLZ,205.26,273.72,0.04,0.07,105.37,1550.4388,Pending,375946,USPS,2021-03-03,2021-03-04,Delayed,,,,,,,,,,
2021-02-23,DROSMSQF,Electronics,3,250.88,752.64,PayPal,Canada,New York,74708,34.42,Cancelled,Not Returned,2,EGCDQCWDBNEUBOKVJTASNYZWVNAYIQNMMFGBZHXFYCRR,2021-02-25,2021-02-27,TCDETCCDFGD,+10880339716,kjcpm@example.com,ZVODNDIAZWHOFAFTNHGXPAJLIJJC,,LOEOTXP,BQYDGOUYPY,205.26,136.86,0.05,0.07,52.68,767.688,Processed,206826,USPS,2021-02-25,2021-02-26,Delayed,,,,,,,,,,
2021-02-25,LSEQZWZAYXWJ,Home & Kitchen,4,250.88,1003.52,PayPal,Canada,Berlin,19752,34.42,Pending,Returned,1,WFKCPEXVBOPGPXDPQBPDGRFRGBSIDNEYGHOSKTWDR,2021-02-28,2021-03-08,OFEHFQPKANMJJVHID,+17292870135,,IQVELDJQBTVFEHPC,,HKIPNONXJMAWI,EZPAOTEMNYBBSSL,205.26,182.48,0.25,0.07,70.25,822.89,Failed,817871,FedEx,2021-03-06,2021-03-08,Delayed,,,,,,,,,,
2021-02-27,UUKMEAXLKQD,Clothing,3,250.88,752.64,Bank Transfer,Australia,London,91548,34.42,Pending,Returned,4,ZFYPRAHAASUYJRLQAHJZJRIYBCBFWLVSO,2021-02-28,2021-03-07,ILMHMXAZVKYXBEKD,+12339666343,jkzxm@example.com,ZDAFRDLNCSBXBQEAPFELQWK,,ZQJMR,,205.26,136.86,0.14,0.07,52.68,699.9504,Pending,780710,UPS,2021-03-08,2021-03-07,Delayed,,,,,,,,,,
2021-03-02,IUTSSLEJQEVPG,Home & Kitchen,2,250.88,501.76,Bank Transfer,Germany,New York,84711,34.42,Refunded,Not Returned,5,LRPBKLEXFYKUJDILJNEAEPEERFURJOXVKZSYMT,2021-03-03,2021-03-12,YLCYQWHFDDGJFDUJT,+18307510967,targg@example.com,BZYPSHDFXTCIZWYSA,,XMXJTGGIP,HQBQHNQFZKHMHGXXZ,205.26,91.24,0.11,0.07,35.12,481.6864,Pending,516693,DHL,2021-03-13,2021-03-12,On Time,,,,,,,,,,
2021-03-03,COPRNCLIGIMRE,Home & Kitchen,9,250.88,2257.92,PayPal,Germany,New York,50670,34.42,Cancelled,Not Returned,5,PGLOHWQAUHNJSHSDJWCDPX,2021-03-07,2021-03-09,TFKRWILKZR,+19836412794,bhkqo@example.com,WAOEPESLMHQYLNKWA,,CMKHUUXFJZQTI,BLDEPBXXMDEL,205.26,410.58,0.13,0.07,158.05,2122.4404,Processed,682912,FedEx,2021-03-09,2021-03-09,Early,,,,,,,,,,
2021-03-04,BPIIFKVX,Home & Kitchen,1,250.88,250.88,Bank Transfer,France,New York,77603,34.42,Refunded,Returned,4,YTTMUQWYPYQFCTXDHTIVAMZ,2021-03-05,2021-03-11,BPIPLQMDMLBQOMBZ,+12766643555,lthex@example.com,PBAAJRVUUBWCNLYX,,NTMZAYXSI,EPYIODQXAPWTQD,205.26,45.62,0.05,0.07,17.56,255.896,Pending,457462,DHL,2021-03-11,2021-03-11,Delayed,,,,,,,,,,
2021-03-06,ADMWMMBIXH,Books,2,250.88,501.76,PayPal,USA,Toronto,41478,34.42,Completed,Returned,1,WJWSQXMZNKJGJXANCMBQU,2021-03-09,2021-03-14,ULAOCJFEVHFKNUT,+17593993460,hymnn@example.com,IMJFERGPKUJHEACOJAJPLEV,,OTEDD,MHRMIEKNXRRTPDSE,205.26,91.24,0.07,0.07,35.12,501.7568,Failed,297663,FedEx,2021-03-13,2021-03-14,Delayed,,,,,,,,,,
2021-03-08,DRCFLLUHVVA,Books,8,250.88,2007.04,Debit Card,Germany,New York,36439,34.42,Refunded,Returned,1,ZOHFZIYKVBIRSVRERLDOKS,2021-03-12,2021-03-17,MIJKFUXEEPXYHO,,aaigi@example.com,KUEFYBVJWDLEWPXSOSYLA,,OEQGFOYTNJFJW,QDFVRFTZOAQ,205.26,364.96,0.15,0.07,140.49,1846.474,,716765,UPS,2021-03-17,2021-03-16,On Time,,,,,,,,,,
2021-03-10,UKCMYQVV,Books,7,250.88,1756.16,Credit Card,Australia,Berlin,44747,34.42,Pending,Returned,4,FMWJXYNDTWLOZJKIKBMVZZHU,2021-03-13,2021-03-16,OYHNGWLAOGOJFPNLQJ,+11007181366,bhadx@example.com,HUCLGTFENGOPWSUBBUUIXXJD,,IMNAASIE,DXCUCXNTHHI,205.26,319.34,0.11,0.07,122.93,1685.9124,,127790,FedEx,2021-03-15,2021-03-16,On Time,,,,,,,,,,
